id,user_id,event,ip_address,created_at,updated_at,is_fraud,fraud_likelihood
127,2,login,127.0.0.1,2024-11-09 08:38:48,2024-11-09 08:38:48,0,0.0
128,2,logout,127.0.0.1,2024-11-09 08:40:11,2024-11-09 08:40:11,0,0.010465277325339528
129,3,login,127.0.0.1,2024-11-09 08:40:22,2024-11-09 08:40:22,0,0.0
130,3,Created Vehicle Reservation,127.0.0.1,2024-11-09 08:41:02,2024-11-09 08:41:02,0,1.0889371464224515
131,3,logout,127.0.0.1,2024-11-09 08:41:06,2024-11-09 08:41:06,0,0.0
132,2,login,127.0.0.1,2024-11-09 08:41:19,2024-11-09 08:41:19,0,0.0
133,2,logout,127.0.0.1,2024-11-09 10:46:27,2024-11-09 10:46:27,1,100.0
134,1,login,127.0.0.1,2024-11-09 10:49:30,2024-11-09 10:49:30,0,0.0
135,1,Created Document,127.0.0.1,2024-11-09 10:50:26,2024-11-09 10:50:26,0,1.25756763367878
136,1,Viewed Document,127.0.0.1,2024-11-09 10:51:07,2024-11-09 10:51:07,0,1.4054678198538646
137,1,Updated Document,127.0.0.1,2024-11-09 10:51:31,2024-11-09 10:51:31,0,0.0
138,1,Viewed Document,127.0.0.1,2024-11-09 10:51:43,2024-11-09 10:51:43,0,0.3733517715538661
139,1,Deleted Document,127.0.0.1,2024-11-09 10:51:45,2024-11-09 10:51:45,0,0.0
140,1,Created Vendor Registration,127.0.0.1,2024-11-09 10:52:11,2024-11-09 10:52:11,0,1.8868587594216488
141,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 10:52:33,2024-11-09 10:52:33,0,0.0
142,1,Updated Vendor Registration,127.0.0.1,2024-11-09 10:52:54,2024-11-09 10:52:54,0,1.035392167802406
143,1,Deleted Vendor Registration,127.0.0.1,2024-11-09 10:53:10,2024-11-09 10:53:10,0,0.053391759722962284
144,1,Created Vehicle Reservation,127.0.0.1,2024-11-09 10:53:56,2024-11-09 10:53:56,0,0.0
145,1,Created Vehicle Reservation,127.0.0.1,2024-11-09 10:54:59,2024-11-09 10:54:59,0,0.7146602530439239
146,1,logout,127.0.0.1,2024-11-09 10:58:33,2024-11-09 10:58:33,0,0.3881070259091324
147,1,login,127.0.0.1,2024-11-09 10:59:30,2024-11-09 10:59:30,0,0.0
148,1,Created Document,127.0.0.1,2024-11-09 11:00:28,2024-11-09 11:00:28,0,1.2714301529261895
149,1,Viewed Document,127.0.0.1,2024-11-09 11:00:59,2024-11-09 11:00:59,0,1.3371498883874788
150,1,Updated Document,127.0.0.1,2024-11-09 11:01:23,2024-11-09 11:01:23,0,0.3988924515296217
151,1,logout,127.0.0.1,2024-11-09 11:12:41,2024-11-09 11:12:41,0,1.2756172905272125
152,1,login,127.0.0.1,2024-11-09 11:13:39,2024-11-09 11:13:39,0,0.0
153,1,Created Document,127.0.0.1,2024-11-09 11:14:37,2024-11-09 11:14:37,0,1.812334279673982
154,1,Viewed Document,127.0.0.1,2024-11-09 11:15:16,2024-11-09 11:15:16,0,0.0
155,1,Updated Document,127.0.0.1,2024-11-09 11:15:40,2024-11-09 11:15:40,0,0.0
156,1,Viewed Document,127.0.0.1,2024-11-09 11:15:48,2024-11-09 11:15:48,0,0.0
157,1,Deleted Document,127.0.0.1,2024-11-09 11:15:51,2024-11-09 11:15:51,1,100.0
158,1,Created Vendor Registration,127.0.0.1,2024-11-09 11:16:34,2024-11-09 11:16:34,0,0.0
159,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 11:17:03,2024-11-09 11:17:03,0,1.350109020923719
160,1,Updated Vendor Registration,127.0.0.1,2024-11-09 11:17:21,2024-11-09 11:17:21,0,0.0
161,1,Deleted Vendor Registration,127.0.0.1,2024-11-09 11:17:28,2024-11-09 11:17:28,0,0.0
162,1,Updated Vendor Profile,127.0.0.1,2024-11-09 11:17:46,2024-11-09 11:17:46,0,1.6137761257771324
163,1,Created Vehicle Reservation,127.0.0.1,2024-11-09 11:18:14,2024-11-09 11:18:14,0,0.0
164,1,Created Vehicle Reservation,127.0.0.1,2024-11-09 11:19:10,2024-11-09 11:19:10,0,0.0
165,1,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 11:19:37,2024-11-09 11:19:37,0,1.1357152968793467
166,1,Updated Vehicle Reservation,127.0.0.1,2024-11-09 11:20:13,2024-11-09 11:20:13,0,0.11411456978728518
167,1,Created Vehicle Reservation,127.0.0.1,2024-11-09 11:20:49,2024-11-09 11:20:49,0,0.22698349728699174
168,1,logout,127.0.0.1,2024-11-09 11:21:21,2024-11-09 11:21:21,0,0.0
169,2,login,127.0.0.1,2024-11-09 11:21:37,2024-11-09 11:21:37,0,0.0
170,2,logout,127.0.0.1,2024-11-09 11:26:27,2024-11-09 11:26:27,0,1.4688249925151378
171,1,login,127.0.0.1,2024-11-09 11:26:35,2024-11-09 11:26:35,0,0.9413896568809506
